,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,51.91,66,75,19.57,2022-04-20 17:30:17,broken clouds
1,Kosh-Agach,RU,50.0,88.6667,33.64,51,94,8.28,2022-04-20 17:32:34,overcast clouds
2,Busselton,AU,-33.65,115.3333,54.95,85,0,11.9,2022-04-20 17:32:35,clear sky
3,Charters Towers,AU,-20.1,146.2667,70.5,76,85,6.08,2022-04-20 17:32:35,overcast clouds
4,Bredasdorp,ZA,-34.5322,20.0403,70.14,45,62,5.26,2022-04-20 17:28:47,broken clouds
5,Talnakh,RU,69.4865,88.3972,-2.29,91,32,4.14,2022-04-20 17:32:36,scattered clouds
6,Castro,BR,-24.7911,-50.0119,73.74,45,15,4.0,2022-04-20 17:32:37,few clouds
7,Kodiak,US,57.79,-152.4072,36.91,87,0,4.61,2022-04-20 17:32:37,clear sky
8,Fort Nelson,CA,58.8053,-122.7002,27.99,40,75,0.0,2022-04-20 17:30:07,broken clouds
9,Porto Seguro,BR,-16.4497,-39.0647,82.92,65,75,8.05,2022-04-20 17:32:38,broken clouds
10,Zhuanghe,CN,39.7008,122.9911,48.94,89,0,5.73,2022-04-20 17:32:39,clear sky
11,Nikolskoye,RU,59.7035,30.7861,53.49,93,36,8.68,2022-04-20 17:32:39,scattered clouds
12,Cape Town,ZA,-33.9258,18.4232,74.08,49,0,5.01,2022-04-20 17:23:55,clear sky
13,Hilo,US,19.7297,-155.09,72.28,88,75,5.01,2022-04-20 17:29:19,broken clouds
14,Svetlogorsk,BY,52.6333,29.7333,41.72,99,100,2.04,2022-04-20 17:32:40,overcast clouds
15,Olinda,BR,-8.0089,-34.8553,82.13,78,40,9.22,2022-04-20 17:31:06,scattered clouds
16,Saskylakh,RU,71.9167,114.0833,-2.16,100,99,4.59,2022-04-20 17:32:41,overcast clouds
17,Gargalianoi,GR,37.0667,21.6333,54.21,75,3,1.43,2022-04-20 17:32:42,clear sky
18,Vao,NC,-22.6667,167.4833,74.88,70,0,8.19,2022-04-20 17:32:42,clear sky
19,Jamestown,US,42.097,-79.2353,46.53,44,0,8.05,2022-04-20 17:30:42,clear sky
20,Mataura,NZ,-46.1927,168.8643,56.48,99,99,5.21,2022-04-20 17:31:43,light rain
21,Srednekolymsk,RU,67.45,153.6833,2.55,96,46,1.81,2022-04-20 17:28:49,scattered clouds
22,Saldanha,ZA,-33.0117,17.9442,68.05,86,36,8.66,2022-04-20 17:32:43,scattered clouds
23,Guaira,BR,-20.3183,-48.3106,89.17,27,2,2.91,2022-04-20 17:32:44,clear sky
24,Bluff,NZ,-46.6,168.3333,56.8,97,99,5.08,2022-04-20 17:28:39,moderate rain
25,Dongying,CN,37.4564,118.4856,65.41,48,8,13.09,2022-04-20 17:32:45,clear sky
26,Thompson,CA,55.7435,-97.8558,28.56,59,75,9.22,2022-04-20 17:32:45,broken clouds
27,Nizhniy Tsasuchey,RU,50.5167,115.1333,32.59,45,0,15.61,2022-04-20 17:32:46,clear sky
28,Cromarty,GB,57.6805,-4.0339,62.42,58,0,9.22,2022-04-20 17:32:47,clear sky
29,Omboue,GA,-1.5746,9.2618,78.96,86,92,6.73,2022-04-20 17:30:51,overcast clouds
30,Khandbari,NP,27.3747,87.2039,67.35,73,71,1.61,2022-04-20 17:32:48,broken clouds
31,Johi,PK,26.6921,67.6133,85.48,29,79,13.62,2022-04-20 17:32:48,broken clouds
32,Biak,ID,-0.9131,122.8766,75.96,85,100,0.63,2022-04-20 17:32:49,overcast clouds
33,Rikitea,PF,-23.1203,-134.9692,78.51,69,16,16.2,2022-04-20 17:28:35,few clouds
34,Imeni Poliny Osipenko,RU,52.4201,136.4853,30.85,94,100,10.92,2022-04-20 17:32:50,overcast clouds
35,Ushuaia,AR,-54.8,-68.3,47.86,61,75,16.11,2022-04-20 17:28:43,broken clouds
36,Kapaa,US,22.0752,-159.319,71.92,89,75,14.97,2022-04-20 17:28:33,broken clouds
37,Port Macquarie,AU,-31.4333,152.9167,56.89,82,3,4.85,2022-04-20 17:29:28,clear sky
38,Quatre Cocos,MU,-20.2078,57.7625,77.11,80,85,6.15,2022-04-20 17:32:51,overcast clouds
39,Paita,PE,-5.0892,-81.1144,73.2,74,96,3.04,2022-04-20 17:32:52,overcast clouds
40,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.29,67,0,10.25,2022-04-20 17:32:52,clear sky
41,Barcelos,PT,41.5388,-8.6151,63.91,64,31,16.24,2022-04-20 17:32:53,scattered clouds
42,Atuona,PF,-9.8,-139.0333,79.45,71,70,19.17,2022-04-20 17:32:53,broken clouds
43,Cherskiy,RU,68.75,161.3,4.96,92,13,5.08,2022-04-20 17:28:32,few clouds
44,Kaitangata,NZ,-46.2817,169.8464,57.15,99,100,5.73,2022-04-20 17:33:55,overcast clouds
45,Tual,ID,-5.6667,132.75,83.41,76,89,7.54,2022-04-20 17:33:55,overcast clouds
46,Clyde River,CA,70.4692,-68.5914,1.63,85,75,14.97,2022-04-20 17:33:56,broken clouds
47,Peniche,PT,39.3558,-9.3811,59.29,69,1,25.55,2022-04-20 17:33:56,clear sky
48,Zyryanka,RU,65.75,150.85,2.3,98,95,3.51,2022-04-20 17:33:57,overcast clouds
49,Tazovskiy,RU,67.4667,78.7,12.67,95,100,10.54,2022-04-20 17:33:57,light snow
50,Margate,GB,51.3813,1.3862,55.11,74,12,5.99,2022-04-20 17:33:58,few clouds
51,Port Elizabeth,ZA,-33.918,25.5701,75.09,82,0,1.14,2022-04-20 17:30:41,clear sky
52,Souillac,MU,-20.5167,57.5167,77.38,88,20,4.61,2022-04-20 17:33:58,few clouds
53,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.42,69,77,9.95,2022-04-20 17:33:59,broken clouds
54,Nanortalik,GL,60.1432,-45.2371,31.19,58,47,12.46,2022-04-20 17:33:59,scattered clouds
55,Qaanaaq,GL,77.484,-69.3632,-1.03,74,100,9.4,2022-04-20 17:34:00,overcast clouds
56,Hobart,AU,-42.8794,147.3294,48.06,71,33,16.11,2022-04-20 17:28:37,scattered clouds
57,Hermanus,ZA,-34.4187,19.2345,61.81,80,61,3.11,2022-04-20 17:34:01,broken clouds
58,Butaritari,KI,3.0707,172.7902,80.67,81,81,15.39,2022-04-20 17:34:02,light rain
59,Methoni,GR,36.8197,21.7049,57.06,74,5,3.36,2022-04-20 17:34:02,clear sky
60,Constitucion,CL,-35.3333,-72.4167,60.89,58,3,14.36,2022-04-20 17:34:03,clear sky
61,Albany,US,42.6001,-73.9662,49.55,49,13,3.0,2022-04-20 17:30:41,few clouds
62,Kota Kinabalu,MY,5.9749,116.0724,75.18,94,20,3.44,2022-04-20 17:34:04,few clouds
63,New Norfolk,AU,-42.7826,147.0587,47.7,67,30,3.0,2022-04-20 17:34:05,scattered clouds
64,Caxito,AO,-8.5785,13.6643,74.66,95,100,2.62,2022-04-20 17:34:05,overcast clouds
65,Codrington,AU,-38.2667,141.9667,56.25,76,63,7.63,2022-04-20 17:34:06,broken clouds
66,Rence,SI,45.89,13.6686,60.82,63,23,8.05,2022-04-20 17:34:07,few clouds
67,Vaini,TO,-21.2,-175.2,73.56,100,75,3.44,2022-04-20 17:34:07,broken clouds
68,Ilulissat,GL,69.2167,-51.1,15.82,41,0,5.75,2022-04-20 17:28:37,clear sky
69,Abashiri,JP,44.0213,144.2697,44.69,59,0,11.65,2022-04-20 17:34:08,clear sky
70,Batagay-Alyta,RU,67.8006,130.4114,16.23,96,100,4.5,2022-04-20 17:34:09,light snow
71,Corrales,US,35.2378,-106.6067,78.98,10,0,13.0,2022-04-20 17:34:09,clear sky
72,Zhigalovo,RU,54.8097,105.1578,31.53,88,100,8.23,2022-04-20 17:34:10,overcast clouds
73,Nurota,UZ,40.5614,65.6886,60.42,67,92,1.36,2022-04-20 17:34:11,overcast clouds
74,Buala,SB,-8.145,159.5921,79.68,84,63,5.55,2022-04-20 17:34:11,light rain
75,Airai,TL,-8.9266,125.4092,58.84,86,94,2.01,2022-04-20 17:34:12,overcast clouds
76,Takaungu,KE,-3.6837,39.8566,80.6,76,100,17.4,2022-04-20 17:34:13,overcast clouds
77,Hithadhoo,MV,-0.6,73.0833,83.37,68,95,3.02,2022-04-20 17:34:14,overcast clouds
78,Bella Union,UY,-30.2752,-57.6007,79.21,49,50,7.87,2022-04-20 17:34:14,scattered clouds
79,Campos,BR,-21.75,-41.3,84.25,51,20,9.22,2022-04-20 17:30:03,few clouds
80,Sitka,US,57.0531,-135.33,46.29,61,40,8.05,2022-04-20 17:34:15,scattered clouds
81,Ancud,CL,-41.8697,-73.8203,52.23,69,82,9.95,2022-04-20 17:31:53,broken clouds
82,Kulhudhuffushi,MV,6.6221,73.07,84.97,75,69,10.31,2022-04-20 17:34:16,broken clouds
83,Muravlenko,RU,63.7898,74.523,7.59,94,60,13.67,2022-04-20 17:34:17,broken clouds
84,Nampa,US,43.5407,-116.5635,56.03,49,0,16.11,2022-04-20 17:34:17,clear sky
85,Saint-Joseph,RE,-21.3667,55.6167,77.38,85,51,3.29,2022-04-20 17:34:18,broken clouds
86,Lebu,CL,-37.6167,-73.65,56.7,63,12,8.9,2022-04-20 17:34:18,few clouds
87,Barrow,US,71.2906,-156.7887,-2.18,84,0,12.66,2022-04-20 17:34:19,clear sky
88,Bethel,US,41.3712,-73.414,55.2,42,0,12.66,2022-04-20 17:28:50,clear sky
89,Tilichiki,RU,60.4667,166.1,2.12,99,83,7.81,2022-04-20 17:34:20,broken clouds
90,Avarua,CK,-21.2078,-159.775,77.05,65,75,9.22,2022-04-20 17:35:21,broken clouds
91,Springdale,US,36.1867,-94.1288,56.05,93,100,21.85,2022-04-20 17:31:42,overcast clouds
92,Ponta Do Sol,PT,32.6667,-17.1,65.01,50,2,5.64,2022-04-20 17:35:21,clear sky
93,Upernavik,GL,72.7868,-56.1549,2.61,66,23,5.82,2022-04-20 17:35:22,few clouds
94,Beyneu,KZ,45.3167,55.2,69.04,23,52,16.67,2022-04-20 17:35:23,broken clouds
95,Yellowknife,CA,62.456,-114.3525,28.92,31,0,4.61,2022-04-20 17:28:36,clear sky
96,Kinsale,IE,51.7075,-8.5306,51.24,76,75,9.22,2022-04-20 17:35:24,broken clouds
97,Bambous Virieux,MU,-20.3428,57.7575,77.25,88,20,4.61,2022-04-20 17:25:47,few clouds
98,Bradford,GB,53.7939,-1.7521,56.52,50,0,11.5,2022-04-20 17:35:24,clear sky
99,Gogrial,SS,8.5332,28.1004,92.77,33,100,3.27,2022-04-20 17:35:25,overcast clouds
100,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,59,3.65,2022-04-20 17:35:26,broken clouds
101,Sur,OM,22.5667,59.5289,82.69,68,31,6.08,2022-04-20 17:35:26,scattered clouds
102,Shimoda,JP,34.6667,138.95,57.52,81,82,6.8,2022-04-20 17:35:27,broken clouds
103,Mataram,ID,-8.5833,116.1167,79.61,89,99,3.8,2022-04-20 17:35:27,overcast clouds
104,Rive-De-Gier,FR,45.5307,4.6213,62.53,83,100,1.28,2022-04-20 17:35:28,overcast clouds
105,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,64,81,2.06,2022-04-20 17:35:28,broken clouds
106,Celestun,MX,20.8667,-90.4,88.02,45,0,7.43,2022-04-20 17:35:29,clear sky
107,Dikson,RU,73.5069,80.5464,-4.2,100,89,9.17,2022-04-20 17:35:29,overcast clouds
108,Chernogorsk,RU,53.8236,91.2842,42.37,49,0,4.47,2022-04-20 17:35:30,clear sky
109,East London,ZA,-33.0153,27.9116,70.74,83,0,9.22,2022-04-20 17:31:23,clear sky
110,Saint-Francois,FR,46.4154,3.9054,63.84,52,0,3.44,2022-04-20 17:35:31,clear sky
111,Ordzhonikidze,KZ,52.4411,61.7408,59.54,65,100,3.78,2022-04-20 17:35:31,overcast clouds
112,Pokrovsk,UA,48.282,37.1758,44.2,68,48,10.07,2022-04-20 17:35:32,scattered clouds
113,Taitung,TW,22.7583,121.1444,73.18,79,66,2.33,2022-04-20 17:35:32,broken clouds
114,Chingola,ZM,-12.529,27.8838,60.64,98,99,3.69,2022-04-20 17:35:33,light rain
115,Teguldet,RU,57.3064,88.1667,33.91,90,100,3.78,2022-04-20 17:35:33,overcast clouds
116,Ukiah,US,39.1502,-123.2078,52.38,86,100,6.91,2022-04-20 17:31:21,overcast clouds
117,Halifax,CA,44.6453,-63.5724,53.69,60,40,24.16,2022-04-20 17:35:34,scattered clouds
118,Qui Nhon,VN,13.7667,109.2333,74.21,91,51,6.06,2022-04-20 17:35:35,broken clouds
119,Narsaq,GL,60.9167,-46.05,39.42,41,61,1.68,2022-04-20 17:35:35,broken clouds
120,Carnarvon,AU,-24.8667,113.6333,66.27,72,97,8.05,2022-04-20 17:25:46,overcast clouds
121,Tuy Hoa,VN,13.0833,109.3,74.57,93,50,4.36,2022-04-20 17:31:55,scattered clouds
122,Sorong,ID,-0.8833,131.25,80.89,81,100,1.77,2022-04-20 17:35:36,overcast clouds
123,Lyngdal,NO,58.1376,7.07,52.0,55,22,7.83,2022-04-20 17:35:37,few clouds
124,Tuktoyaktuk,CA,69.4541,-133.0374,3.2,85,75,4.61,2022-04-20 17:28:40,fog
125,Boshnyakovo,RU,49.6333,142.1667,40.05,84,100,15.23,2022-04-20 17:35:37,overcast clouds
126,Port Lincoln,AU,-34.7333,135.8667,59.45,63,81,8.21,2022-04-20 17:35:38,broken clouds
127,Gallneukirchen,AT,48.3543,14.4127,51.33,62,62,3.69,2022-04-20 17:35:39,broken clouds
128,Vanimo,PG,-2.6741,141.3028,78.13,90,99,4.5,2022-04-20 17:35:39,overcast clouds
129,San Luis,AR,-33.295,-66.3356,70.12,48,53,13.31,2022-04-20 17:34:58,broken clouds
130,Pacific Grove,US,36.6177,-121.9166,62.42,70,16,8.01,2022-04-20 17:31:47,few clouds
131,San Juan,AR,-31.5375,-68.5364,75.94,36,0,20.2,2022-04-20 17:35:40,clear sky
132,Port Keats,AU,-14.25,129.55,81.73,69,96,3.67,2022-04-20 17:35:41,overcast clouds
133,Eyl,SO,7.9803,49.8164,82.02,68,14,12.91,2022-04-20 17:35:41,few clouds
134,Torbay,CA,47.6666,-52.7314,48.27,84,100,32.21,2022-04-20 17:35:34,overcast clouds
135,Am Timan,TD,11.0297,20.2827,93.69,22,100,3.18,2022-04-20 17:35:42,overcast clouds
136,Iqaluit,CA,63.7506,-68.5145,17.33,67,100,3.44,2022-04-20 17:28:33,overcast clouds
137,Pierre,US,44.3683,-100.351,60.85,46,0,10.0,2022-04-20 17:35:43,clear sky
138,Teya,RU,60.3778,92.6267,21.42,98,100,2.73,2022-04-20 17:36:43,overcast clouds
139,Santa Rosa,PH,14.3122,121.1114,82.38,76,4,4.99,2022-04-20 17:36:34,clear sky
140,Coihueco,CL,-36.6167,-71.8333,59.74,55,20,9.22,2022-04-20 17:36:44,few clouds
141,Trincomalee,LK,8.5711,81.2335,83.01,79,7,8.68,2022-04-20 17:36:44,clear sky
142,Lata,PT,40.1629,-8.3327,60.93,67,47,14.0,2022-04-20 17:36:45,scattered clouds
143,Puerto Ayora,EC,-0.7393,-90.3518,78.76,82,73,8.39,2022-04-20 17:36:45,broken clouds
144,Cidreira,BR,-30.1811,-50.2056,71.56,65,0,7.52,2022-04-20 17:36:46,clear sky
145,Khatanga,RU,71.9667,102.5,-14.17,100,58,0.58,2022-04-20 17:30:13,broken clouds
146,Hamilton,US,39.1834,-84.5333,59.77,48,100,11.5,2022-04-20 17:35:41,overcast clouds
147,Sakhipur,BD,24.3,90.1833,74.82,81,68,2.53,2022-04-20 17:36:47,broken clouds
148,Pochutla,MX,15.7432,-96.4661,92.82,36,0,9.86,2022-04-20 17:36:48,clear sky
149,Umba,RU,66.6871,34.3429,32.88,98,100,9.17,2022-04-20 17:36:48,overcast clouds
150,Bon Accord,CA,53.8335,-113.4187,34.99,80,20,2.3,2022-04-20 17:36:49,few clouds
151,Chapais,CA,49.7834,-74.8492,31.78,64,81,15.37,2022-04-20 17:32:47,broken clouds
152,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,33.94,91,100,13.0,2022-04-20 17:32:43,overcast clouds
153,Kutum,SD,14.2,24.6667,83.75,14,74,7.11,2022-04-20 17:36:50,broken clouds
154,Arlit,NE,18.7369,7.3853,93.45,10,18,5.99,2022-04-20 17:36:50,few clouds
155,Saint-Pierre,RE,-21.3393,55.4781,78.48,82,0,3.44,2022-04-20 17:36:51,clear sky
156,Mogadishu,SO,2.0371,45.3438,83.28,71,100,16.64,2022-04-20 17:36:52,overcast clouds
157,Egvekinot,RU,66.3167,-179.1667,19.62,87,100,3.44,2022-04-20 17:33:21,overcast clouds
158,Arenzano,IT,44.4052,8.6832,60.37,85,40,1.99,2022-04-20 17:36:52,scattered clouds
159,Saint Anthony,US,45.0205,-93.218,46.65,81,100,17.27,2022-04-20 17:36:53,haze
160,Chuy,UY,-33.6971,-53.4616,76.46,49,1,8.93,2022-04-20 17:36:53,clear sky
161,Port Alfred,ZA,-33.5906,26.891,68.18,89,13,13.38,2022-04-20 17:36:54,few clouds
162,Muzhi,RU,65.3667,64.6667,9.3,77,5,13.98,2022-04-20 17:36:54,clear sky
163,Pangnirtung,CA,66.1451,-65.7125,17.6,53,75,9.22,2022-04-20 17:35:50,broken clouds
164,Markala,ML,13.7021,-6.0659,99.61,7,62,12.12,2022-04-20 17:36:55,broken clouds
165,La Ronge,CA,55.1001,-105.2842,37.62,51,40,10.36,2022-04-20 17:36:56,scattered clouds
166,Whitianga,NZ,-36.8333,175.7,65.75,92,94,11.45,2022-04-20 17:36:56,overcast clouds
167,Erzin,TR,36.9559,36.2,57.51,88,78,5.91,2022-04-20 17:36:57,broken clouds
168,Berlevag,NO,70.8578,29.0864,41.0,81,0,10.36,2022-04-20 17:36:57,clear sky
169,Mingoyo,TZ,-10.1,39.6333,73.67,95,59,2.75,2022-04-20 17:36:58,broken clouds
170,Manuk Mangkaw,PH,4.8,119.85,83.08,76,100,6.8,2022-04-20 17:36:58,overcast clouds
171,Shelburne,CA,44.0787,-80.2041,43.9,75,83,6.82,2022-04-20 17:33:17,broken clouds
172,Qiqihar,CN,47.3408,123.9672,47.39,64,100,14.52,2022-04-20 17:36:59,overcast clouds
173,Provideniya,RU,64.3833,-173.3,21.88,86,38,5.91,2022-04-20 17:37:00,scattered clouds
174,Oktyabrskiy,RU,54.4815,53.471,43.36,92,100,7.85,2022-04-20 17:37:00,overcast clouds
175,Pasni,PK,25.2631,63.471,79.93,73,0,7.29,2022-04-20 17:37:01,clear sky
176,Victoria,HK,22.2855,114.1577,73.18,82,51,5.01,2022-04-20 17:34:33,broken clouds
177,Zhumadian,CN,32.9794,114.0294,53.69,94,5,6.89,2022-04-20 17:37:02,clear sky
178,Upington,ZA,-28.4478,21.2561,71.98,35,0,5.75,2022-04-20 17:37:02,clear sky
179,Tsiroanomandidy,MG,-18.7667,46.0333,75.58,64,91,3.0,2022-04-20 17:37:03,overcast clouds
180,Avon Park,US,27.5959,-81.5062,84.7,54,0,15.73,2022-04-20 17:37:04,clear sky
181,Bilma,NE,18.6853,12.9164,88.99,9,6,6.96,2022-04-20 17:37:04,clear sky
182,Finschhafen,PG,-6.6024,147.8681,79.41,82,100,4.85,2022-04-20 17:37:05,heavy intensity rain
183,Mount Isa,AU,-20.7333,139.5,73.17,20,0,13.8,2022-04-20 17:38:06,clear sky
184,Verkh-Usugli,RU,52.7,115.1667,23.86,53,61,4.85,2022-04-20 17:38:06,broken clouds
185,Zhezkazgan,KZ,47.8043,67.7144,57.78,38,0,5.28,2022-04-20 17:38:07,clear sky
186,Cayenne,GF,4.9333,-52.3333,77.04,1,75,4.61,2022-04-20 17:38:08,heavy intensity rain
187,Tommot,RU,58.9564,126.2925,20.41,98,100,2.89,2022-04-20 17:38:08,overcast clouds
188,Puerto Ayacucho,VE,5.6639,-67.6236,82.99,75,95,4.43,2022-04-20 17:38:09,overcast clouds
189,West Fargo,US,46.875,-96.9004,37.02,90,75,10.36,2022-04-20 17:38:10,broken clouds
190,Hami,CN,42.8,93.45,62.08,12,92,16.69,2022-04-20 17:38:11,overcast clouds
191,Ha Noi,VN,21.0245,105.8412,68.0,84,1,5.53,2022-04-20 17:38:12,clear sky
192,Seoul,KR,37.5683,126.9778,49.44,66,61,6.91,2022-04-20 17:34:13,broken clouds
193,Kinkala,CG,-4.3614,14.7644,73.13,93,100,1.97,2022-04-20 17:38:12,light rain
194,Necochea,AR,-38.5473,-58.7368,73.04,54,100,10.78,2022-04-20 17:38:13,overcast clouds
195,Camana,PE,-16.6228,-72.7111,71.53,74,39,8.97,2022-04-20 17:38:14,scattered clouds
196,Port Augusta,AU,-32.5,137.7667,61.72,75,53,9.8,2022-04-20 17:38:14,broken clouds
197,Lagdo,CM,9.05,13.7333,88.9,32,100,3.51,2022-04-20 17:38:15,overcast clouds
198,Hambantota,LK,6.1241,81.1185,80.76,82,81,2.84,2022-04-20 17:38:16,broken clouds
199,Manhattan,US,40.7834,-73.9662,58.5,33,0,17.27,2022-04-20 17:37:07,clear sky
200,Cabo San Lucas,MX,22.8909,-109.9124,77.05,69,0,10.36,2022-04-20 17:35:10,clear sky
201,Namibe,AO,-15.1961,12.1522,79.43,89,100,14.97,2022-04-20 17:38:17,overcast clouds
202,Vytegra,RU,61.0064,36.4481,38.5,90,100,5.23,2022-04-20 17:38:18,overcast clouds
203,Kitimat,CA,54.0524,-128.6534,47.91,56,100,5.28,2022-04-20 17:38:18,overcast clouds
204,Sola,VU,-13.8833,167.55,82.09,74,60,8.66,2022-04-20 17:38:19,broken clouds
205,Aqtobe,KZ,50.2797,57.2072,53.69,66,0,6.71,2022-04-20 17:38:20,clear sky
206,Trinidad,BO,-14.8333,-64.9,91.38,55,40,5.75,2022-04-20 17:36:05,scattered clouds
207,Kiunga,PG,-6.1219,141.2906,73.22,100,100,1.48,2022-04-20 17:38:21,moderate rain
208,Tasiilaq,GL,65.6145,-37.6368,35.76,91,92,6.67,2022-04-20 17:38:21,overcast clouds
209,Yulara,AU,-25.2406,130.9889,62.44,34,89,9.22,2022-04-20 17:38:22,overcast clouds
210,Hwange,ZW,-18.3693,26.5019,62.24,87,71,10.2,2022-04-20 17:38:22,light rain
211,Bugarama,TZ,-2.8706,30.5281,61.93,97,100,3.6,2022-04-20 17:38:23,overcast clouds
212,Kahului,US,20.8947,-156.47,75.85,78,0,13.8,2022-04-20 17:38:23,clear sky
213,Skibbereen,IE,51.55,-9.2667,51.12,75,100,9.95,2022-04-20 17:38:24,overcast clouds
214,Sirjan,IR,29.452,55.6814,68.27,10,99,4.52,2022-04-20 17:38:25,overcast clouds
215,Kathmandu,NP,27.7167,85.3167,64.62,88,40,4.61,2022-04-20 17:36:35,scattered clouds
216,Finnsnes,NO,69.2296,17.9811,52.41,65,2,5.03,2022-04-20 17:38:25,clear sky
217,Kailua,US,21.4022,-157.7394,74.64,80,75,4.0,2022-04-20 17:34:44,broken clouds
218,Atambua,ID,-9.1061,124.8925,72.36,86,100,3.91,2022-04-20 17:38:26,overcast clouds
219,Alta Floresta,BR,-9.8756,-56.0861,91.22,58,40,5.75,2022-04-20 17:38:27,scattered clouds
220,Hay River,CA,60.8156,-115.7999,24.78,42,0,3.44,2022-04-20 17:38:27,clear sky
221,Salinas,US,36.6777,-121.6555,64.92,50,0,5.75,2022-04-20 17:38:28,clear sky
222,Tiksi,RU,71.6872,128.8694,9.27,98,100,5.55,2022-04-20 17:28:47,overcast clouds
223,Ostrovnoy,RU,68.0531,39.5131,30.15,90,67,6.87,2022-04-20 17:38:29,broken clouds
224,Mogadouro,PT,41.3403,-6.7119,53.46,36,92,11.5,2022-04-20 17:38:29,overcast clouds
225,Pevek,RU,69.7008,170.3133,12.76,87,99,2.95,2022-04-20 17:38:30,overcast clouds
